object1,object2,similarity
Adhesive,Adhesive,7.0
Adhesive,Brick,1.3714285714285714
Adhesive,Cardboard,1.5142857142857142
Adhesive,Ceramic,1.7714285714285714
Adhesive,Cloth,1.7714285714285714
Adhesive,Concrete,1.9142857142857144
Adhesive,Cotton,1.7428571428571429
Adhesive,Diamond,1.2285714285714286
Adhesive,Glass,1.4
Adhesive,Leather,1.6
Adhesive,Marble,1.3142857142857143
Adhesive,Metal,1.5142857142857142
Adhesive,Paper,2.1142857142857143
Adhesive,Plastic,2.942857142857143
Adhesive,Porcelain,1.5714285714285714
Adhesive,Rubber,3.085714285714286
Adhesive,Stone,1.5142857142857142
Adhesive,Styrofoam,1.9714285714285715
Adhesive,Wax,3.8
Adhesive,Wood,1.6857142857142857
Adhesive,Wool,1.4285714285714286
Brick,Adhesive,1.4
Brick,Brick,7.0
Brick,Cardboard,1.4857142857142858
Brick,Ceramic,4.228571428571429
Brick,Cloth,1.3714285714285714
Brick,Concrete,5.885714285714286
Brick,Cotton,1.1142857142857143
Brick,Diamond,2.9714285714285715
Brick,Glass,2.257142857142857
Brick,Leather,1.3714285714285714
Brick,Marble,4.085714285714285
Brick,Metal,2.857142857142857
Brick,Paper,1.1714285714285715
Brick,Plastic,2.0
Brick,Porcelain,3.2857142857142856
Brick,Rubber,1.5714285714285714
Brick,Stone,5.6571428571428575
Brick,Styrofoam,1.542857142857143
Brick,Wax,1.542857142857143
Brick,Wood,2.7142857142857144
Brick,Wool,1.5142857142857142
Cardboard,Adhesive,1.7142857142857142
Cardboard,Brick,1.7142857142857142
Cardboard,Cardboard,7.0
Cardboard,Ceramic,1.5714285714285714
Cardboard,Cloth,2.1714285714285713
Cardboard,Concrete,1.6
Cardboard,Cotton,2.3714285714285714
Cardboard,Diamond,1.2857142857142858
Cardboard,Glass,1.5714285714285714
Cardboard,Leather,2.1142857142857143
Cardboard,Marble,1.3428571428571427
Cardboard,Metal,1.4857142857142858
Cardboard,Paper,5.514285714285714
Cardboard,Plastic,2.342857142857143
Cardboard,Porcelain,1.5142857142857142
Cardboard,Rubber,1.6
Cardboard,Stone,1.457142857142857
Cardboard,Styrofoam,3.257142857142857
Cardboard,Wax,1.6857142857142857
Cardboard,Wood,3.5428571428571427
Cardboard,Wool,1.9142857142857144
Ceramic,Adhesive,1.457142857142857
Ceramic,Brick,4.085714285714285
Ceramic,Cardboard,1.5142857142857142
Ceramic,Ceramic,7.0
Ceramic,Cloth,1.3142857142857143
Ceramic,Concrete,4.0285714285714285
Ceramic,Cotton,1.1428571428571428
Ceramic,Diamond,3.0285714285714285
Ceramic,Glass,4.314285714285714
Ceramic,Leather,1.4857142857142858
Ceramic,Marble,5.142857142857143
Ceramic,Metal,2.5142857142857142
Ceramic,Paper,1.542857142857143
Ceramic,Plastic,2.6285714285714286
Ceramic,Porcelain,5.6571428571428575
Ceramic,Rubber,1.542857142857143
Ceramic,Stone,4.3428571428571425
Ceramic,Styrofoam,1.4
Ceramic,Wax,2.0
Ceramic,Wood,2.1142857142857143
Ceramic,Wool,1.4857142857142858
Cloth,Adhesive,1.7142857142857142
Cloth,Brick,1.2
Cloth,Cardboard,2.4857142857142858
Cloth,Ceramic,1.6
Cloth,Cloth,7.0
Cloth,Concrete,1.2
Cloth,Cotton,5.8
Cloth,Diamond,1.1142857142857143
Cloth,Glass,1.1714285714285715
Cloth,Leather,4.314285714285714
Cloth,Marble,1.2
Cloth,Metal,1.3428571428571427
Cloth,Paper,3.2857142857142856
Cloth,Plastic,1.8
Cloth,Porcelain,1.2571428571428571
Cloth,Rubber,1.6857142857142857
Cloth,Stone,1.3428571428571427
Cloth,Styrofoam,2.085714285714286
Cloth,Wax,1.4857142857142858
Cloth,Wood,1.7714285714285714
Cloth,Wool,5.142857142857143
Concrete,Adhesive,2.0
Concrete,Brick,5.6571428571428575
Concrete,Cardboard,1.6176470588235294
Concrete,Ceramic,3.857142857142857
Concrete,Cloth,1.3142857142857143
Concrete,Concrete,7.0
Concrete,Cotton,1.0857142857142856
Concrete,Diamond,3.142857142857143
Concrete,Glass,2.057142857142857
Concrete,Leather,1.457142857142857
Concrete,Marble,4.514285714285714
Concrete,Metal,2.9714285714285715
Concrete,Paper,1.3142857142857143
Concrete,Plastic,2.057142857142857
Concrete,Porcelain,3.5142857142857142
Concrete,Rubber,1.6
Concrete,Stone,5.685714285714286
Concrete,Styrofoam,1.457142857142857
Concrete,Wax,1.542857142857143
Concrete,Wood,2.3714285714285714
Concrete,Wool,1.4285714285714286
Cotton,Adhesive,1.4
Cotton,Brick,1.2285714285714286
Cotton,Cardboard,2.176470588235294
Cotton,Ceramic,1.2571428571428571
Cotton,Cloth,6.257142857142857
Cotton,Concrete,1.1142857142857143
Cotton,Cotton,7.0
Cotton,Diamond,1.2
Cotton,Glass,1.3142857142857143
Cotton,Leather,2.5428571428571427
Cotton,Marble,1.3142857142857143
Cotton,Metal,1.1714285714285715
Cotton,Paper,3.657142857142857
Cotton,Plastic,1.5714285714285714
Cotton,Porcelain,1.3428571428571427
Cotton,Rubber,1.6857142857142857
Cotton,Stone,1.0857142857142856
Cotton,Styrofoam,2.3714285714285714
Cotton,Wax,1.4285714285714286
Cotton,Wood,2.057142857142857
Cotton,Wool,6.085714285714285
Diamond,Adhesive,1.2
Diamond,Brick,3.2857142857142856
Diamond,Cardboard,1.1714285714285715
Diamond,Ceramic,2.942857142857143
Diamond,Cloth,1.3428571428571427
Diamond,Concrete,3.2
Diamond,Cotton,1.2285714285714286
Diamond,Diamond,7.0
Diamond,Glass,4.428571428571429
Diamond,Leather,1.6
Diamond,Marble,4.057142857142857
Diamond,Metal,3.3142857142857145
Diamond,Paper,1.3428571428571427
Diamond,Plastic,1.7714285714285714
Diamond,Porcelain,3.0285714285714285
Diamond,Rubber,1.3142857142857143
Diamond,Stone,4.771428571428571
Diamond,Styrofoam,1.2
Diamond,Wax,1.2
Diamond,Wood,1.6857142857142857
Diamond,Wool,1.2
Glass,Adhesive,1.457142857142857
Glass,Brick,2.2285714285714286
Glass,Cardboard,1.4857142857142858
Glass,Ceramic,4.171428571428572
Glass,Cloth,1.4857142857142858
Glass,Concrete,2.3142857142857145
Glass,Cotton,1.3142857142857143
Glass,Diamond,4.114285714285714
Glass,Glass,7.0
Glass,Leather,1.2857142857142858
Glass,Marble,3.3142857142857145
Glass,Metal,2.4857142857142858
Glass,Paper,1.6
Glass,Plastic,2.657142857142857
Glass,Porcelain,4.514285714285714
Glass,Rubber,1.457142857142857
Glass,Stone,2.5428571428571427
Glass,Styrofoam,1.457142857142857
Glass,Wax,1.6857142857142857
Glass,Wood,1.9142857142857144
Glass,Wool,1.4285714285714286
Leather,Adhesive,1.9714285714285715
Leather,Brick,1.457142857142857
Leather,Cardboard,1.9142857142857144
Leather,Ceramic,1.4
Leather,Cloth,4.0
Leather,Concrete,1.3428571428571427
Leather,Cotton,2.4285714285714284
Leather,Diamond,1.3142857142857143
Leather,Glass,1.2
Leather,Leather,7.0
Leather,Marble,1.5714285714285714
Leather,Metal,1.457142857142857
Leather,Paper,2.4
Leather,Plastic,1.9714285714285715
Leather,Porcelain,1.4285714285714286
Leather,Rubber,3.1142857142857143
Leather,Stone,1.457142857142857
Leather,Styrofoam,1.7428571428571429
Leather,Wax,2.085714285714286
Leather,Wood,2.342857142857143
Leather,Wool,2.942857142857143
Marble,Adhesive,1.457142857142857
Marble,Brick,4.542857142857143
Marble,Cardboard,1.4857142857142858
Marble,Ceramic,4.942857142857143
Marble,Cloth,1.3142857142857143
Marble,Concrete,4.457142857142857
Marble,Cotton,1.2285714285714286
Marble,Diamond,4.371428571428571
Marble,Glass,3.6285714285714286
Marble,Leather,1.3428571428571427
Marble,Marble,7.0
Marble,Metal,2.5714285714285716
Marble,Paper,1.3428571428571427
Marble,Plastic,1.8
Marble,Porcelain,4.714285714285714
Marble,Rubber,1.5142857142857142
Marble,Stone,5.6571428571428575
Marble,Styrofoam,1.457142857142857
Marble,Wax,1.457142857142857
Marble,Wood,2.5428571428571427
Marble,Wool,1.457142857142857
Metal,Adhesive,1.5714285714285714
Metal,Brick,3.1714285714285713
Metal,Cardboard,1.5714285714285714
Metal,Ceramic,2.6857142857142855
Metal,Cloth,1.1714285714285715
Metal,Concrete,3.2
Metal,Cotton,1.4
Metal,Diamond,3.142857142857143
Metal,Glass,2.3714285714285714
Metal,Leather,1.4
Metal,Marble,2.9714285714285715
Metal,Metal,7.0
Metal,Paper,1.2571428571428571
Metal,Plastic,1.9428571428571428
Metal,Porcelain,2.4285714285714284
Metal,Rubber,1.5714285714285714
Metal,Stone,3.5428571428571427
Metal,Styrofoam,1.2571428571428571
Metal,Wax,1.4
Metal,Wood,2.5428571428571427
Metal,Wool,1.2857142857142858
Paper,Adhesive,2.1714285714285713
Paper,Brick,1.2857142857142858
Paper,Cardboard,5.085714285714285
Paper,Ceramic,1.5142857142857142
Paper,Cloth,3.142857142857143
Paper,Concrete,1.4
Paper,Cotton,3.1714285714285713
Paper,Diamond,1.0857142857142856
Paper,Glass,1.4285714285714286
Paper,Leather,1.9714285714285715
Paper,Marble,1.4
Paper,Metal,1.4857142857142858
Paper,Paper,7.0
Paper,Plastic,2.4571428571428573
Paper,Porcelain,1.6571428571428573
Paper,Rubber,2.0285714285714285
Paper,Stone,1.3428571428571427
Paper,Styrofoam,2.942857142857143
Paper,Wax,2.142857142857143
Paper,Wood,4.085714285714285
Paper,Wool,2.2857142857142856
Plastic,Adhesive,2.8
Plastic,Brick,1.8285714285714285
Plastic,Cardboard,2.5714285714285716
Plastic,Ceramic,2.6285714285714286
Plastic,Cloth,1.9714285714285715
Plastic,Concrete,1.9428571428571428
Plastic,Cotton,1.3714285714285714
Plastic,Diamond,1.4857142857142858
Plastic,Glass,2.7142857142857144
Plastic,Leather,2.2
Plastic,Marble,1.9714285714285715
Plastic,Metal,2.1142857142857143
Plastic,Paper,2.2
Plastic,Plastic,7.0
Plastic,Porcelain,2.2285714285714286
Plastic,Rubber,3.5428571428571427
Plastic,Stone,2.0
Plastic,Styrofoam,3.914285714285714
Plastic,Wax,2.7142857142857144
Plastic,Wood,2.4857142857142858
Plastic,Wool,1.4285714285714286
Porcelain,Adhesive,1.5142857142857142
Porcelain,Brick,3.1142857142857143
Porcelain,Cardboard,1.5714285714285714
Porcelain,Ceramic,5.685714285714286
Porcelain,Cloth,1.4
Porcelain,Concrete,3.4285714285714284
Porcelain,Cotton,1.5142857142857142
Porcelain,Diamond,3.2285714285714286
Porcelain,Glass,4.571428571428571
Porcelain,Leather,1.6285714285714286
Porcelain,Marble,4.285714285714286
Porcelain,Metal,2.8
Porcelain,Paper,1.5142857142857142
Porcelain,Plastic,2.5714285714285716
Percelain,Porcelain,7.0
Porcelain,Rubber,1.5142857142857142
Porcelain,Stone,4.371428571428571
Porcelain,Styrofoam,1.7142857142857142
