,WorkerId,object,affordances,likeability,novelty,usability
0,A2GKX7OV3D8A3T,Cup,as food container,3,2,2
1,A14MCHQB6Z8MVT,Cup,as food container,6,1,7
2,ABMH09TPJ72JW,Cup,as food container,4,5,3
3,A30OWLTYVF4Y79,Cup,as food container,5,4,7
4,A1C4LNTWGUOD4P,Cup,as food container,4,5,6
5,A1IQC2Y3UN3WEN,Book,to read,7,1,7
6,A2SN4E7PX1NCLY,Book,to read,7,7,7
7,A3A6C8329VTSN7,Book,to read,7,2,7
8,A3T9WZOUQGE2UW,Book,to read,7,7,7
9,A3LLAS4WXA8SKJ,Book,to read,7,2,7
10,A2SN4E7PX1NCLY,Newspaper,to read,7,6,7
11,A1RYSM4DVE5VPZ,Newspaper,to read,4,5,6
12,A30OWLTYVF4Y79,Newspaper,to read,4,1,7
13,AWWR9PY50W0Z9,Newspaper,to read,7,1,7
14,A21NED23NSZLLD,Newspaper,to read,7,7,7
15,A14MCHQB6Z8MVT,Vase,to keep things in,6,1,7
16,A1RYSM4DVE5VPZ,Vase,to keep things in,5,3,4
17,A3LLAS4WXA8SKJ,Vase,to keep things in,5,5,7
18,A3T9WZOUQGE2UW,Vase,to keep things in,5,5,6
19,A1IQC2Y3UN3WEN,Vase,to keep things in,7,1,7
20,A3LLAS4WXA8SKJ,Wallpaper,to read,5,4,2
21,A1RYSM4DVE5VPZ,Wallpaper,to read,7,6,7
22,AWWR9PY50W0Z9,Wallpaper,to read,2,5,2
23,A30OWLTYVF4Y79,Wallpaper,to read,1,4,3
24,A14MCHQB6Z8MVT,Wallpaper,to read,1,6,1
25,A14MCHQB6Z8MVT,Shelf,as Support,7,2,7
26,A3A6C8329VTSN7,Shelf,as Support,4,4,4
27,ATFI0R8PVG76L,Shelf,as Support,5,2,6
28,A3T9WZOUQGE2UW,Shelf,as Support,5,4,6
29,A21NED23NSZLLD,Shelf,as Support,7,7,7
30,A14MCHQB6Z8MVT,Surfboard,for cleaning self,1,6,1
