,WorkerId,object1,object2,similarity
0,ATT3WMHDZNE0F,Cup,Bowl,Medium
1,A1V5ETMSSAICW1,Cup,Bowl,High
2,AKLKDS34ZAGML,Cup,Bowl,Medium High
3,A3UEM5PCYERMXX,Cup,Bowl,Medium
4,A1C4LNTWGUOD4P,Cup,Bowl,Medium High
5,A1LG8QD78XR5OS,Book,Newspaper,Medium High
6,ATT3WMHDZNE0F,Book,Newspaper,Medium High
7,AKLKDS34ZAGML,Book,Newspaper,Medium
8,A3FIQ72HYZBNWC,Book,Newspaper,Low
9,A167GKZSRIYRC1,Book,Newspaper,Very High
10,AKLKDS34ZAGML,Newspaper,Book,Medium
11,A3FIQ72HYZBNWC,Newspaper,Book,Medium High
12,A1S6C6EN8MPKC3,Newspaper,Book,Medium High
13,A3UEM5PCYERMXX,Newspaper,Book,Medium High
14,A1LW9X1B88MB1C,Newspaper,Book,Very High
15,A3UEM5PCYERMXX,Vase,Container,High
16,A3FIQ72HYZBNWC,Vase,Container,Medium
17,A167GKZSRIYRC1,Vase,Container,Medium
18,AKLKDS34ZAGML,Vase,Container,Medium
19,A19Q676CHKCVOR,Vase,Container,High
20,ATT3WMHDZNE0F,Wallpaper,Newspaper,Low
21,A1V5ETMSSAICW1,Wallpaper,Newspaper,Low
22,A3UEM5PCYERMXX,Wallpaper,Newspaper,Medium High
23,A3NMQX36V9DCDD,Wallpaper,Newspaper,Very High
24,AKLKDS34ZAGML,Wallpaper,Newspaper,Very Low
25,A167GKZSRIYRC1,Shelf,Table,Medium High
26,A34930YXVQ8SUT,Shelf,Table,Medium High
27,AKLKDS34ZAGML,Shelf,Table,Medium Low
28,A3FIQ72HYZBNWC,Shelf,Table,Medium
29,A1LG8QD78XR5OS,Shelf,Table,Medium Low
30,A14MCHQB6Z8MVT,Surfboard,Soap,Very Low
31,A167GKZSRIYRC1,Surfboard,Soap,Medium High
32,A1LG8QD78XR5OS,Surfboard,Soap,Very Low
33,A19Q676CHKCVOR,Surfboard,Soap,Very Low
34,A34930YXVQ8SUT,Surfboard,Soap,Very Low
35,AKLKDS34ZAGML,PaperTowel,Sheet of Paper,Medium High
36,A1V5ETMSSAICW1,PaperTowel,Sheet of Paper,Medium High
37,A3UEM5PCYERMXX,PaperTowel,Sheet of Paper,Very High
38,A3FIQ72HYZBNWC,PaperTowel,Sheet of Paper,Medium Low
39,A1LW9X1B88MB1C,PaperTowel,Sheet of Paper,Very High
40,A19Q676CHKCVOR,Soap,Surfboard,Very Low
41,A3UEM5PCYERMXX,Soap,Surfboard,Very Low
42,A2P7GS077JVDJK,Soap,Surfboard,Very Low
43,AKLKDS34ZAGML,Soap,Surfboard,Very Low
44,A3FIQ72HYZBNWC,Soap,Surfboard,Medium
45,A19Q676CHKCVOR,Toothbrush,Coat brush,Medium Low
46,A3UEM5PCYERMXX,Toothbrush,Coat brush,High
47,AKLKDS34ZAGML,Toothbrush,Coat brush,Medium Low
48,A1S6C6EN8MPKC3,Toothbrush,Coat brush,Low
49,A1C4LNTWGUOD4P,Toothbrush,Coat brush,Medium High
50,A14MCHQB6Z8MVT,Coat brush,Shoe brush,Medium High
51,A1LG8QD78XR5OS,Coat brush,Shoe brush,Very High
52,A3UEM5PCYERMXX,Coat brush,Shoe brush,Medium High
53,A2P7GS077JVDJK,Coat brush,Shoe brush,Medium High
54,AKLKDS34ZAGML,Coat brush,Shoe brush,Medium High
55,A1V5ETMSSAICW1,Shoe brush,Painting brush,Medium
56,A3UEM5PCYERMXX,Shoe brush,Painting brush,Very High
57,A3FIQ72HYZBNWC,Shoe brush,Painting brush,Medium Low
58,AKLKDS34ZAGML,Shoe brush,Painting brush,Medium
59,A14MCHQB6Z8MVT,Shoe brush,Painting brush,Medium Low
60,A3UEM5PCYERMXX,Broom,Toilet brush,Low
61,A1V5ETMSSAICW1,Broom,Toilet brush,Medium
62,A3FIQ72HYZBNWC,Broom,Toilet brush,Medium
63,A1C4LNTWGUOD4P,Broom,Toilet brush,Medium
64,AKLKDS34ZAGML,Broom,Toilet brush,Medium
65,A26KLP2RK19RR3,Toilet brush,Coat brush,Medium High
66,AZCGF2D7QIO10,Toilet brush,Coat brush,Medium High
67,A1LW9X1B88MB1C,Toilet brush,Coat brush,Medium Low
68,A3FIQ72HYZBNWC,Toilet brush,Coat brush,Low
69,A167GKZSRIYRC1,Toilet brush,Coat brush,Medium
70,A3FIQ72HYZBNWC,Painting brush,Toothbrush,High
71,A3UEM5PCYERMXX,Painting brush,Toothbrush,Medium
72,AKLKDS34ZAGML,Painting brush,Toothbrush,Medium
73,A312HQ3OU0EYTB,Painting brush,Toothbrush,Low
74,A1V5ETMSSAICW1,Painting brush,Toothbrush,Medium High
75,A3UEM5PCYERMXX,Table,Desk,High
76,A19Q676CHKCVOR,Table,Desk,High
77,A1S6C6EN8MPKC3,Table,Desk,High
78,A34930YXVQ8SUT,Table,Desk,Very High
79,AKLKDS34ZAGML,Table,Desk,High
80,A1LG8QD78XR5OS,Desk,Table,High
81,AKLKDS34ZAGML,Desk,Table,High
82,AZCGF2D7QIO10,Desk,Table,Medium High
83,A1V5ETMSSAICW1,Desk,Table,Very High
84,A167GKZSRIYRC1,Desk,Table,High
85,AKLKDS34ZAGML,Umbrella,Pan,Very Low
86,A1LG8QD78XR5OS,Umbrella,Pan,Very Low
87,A3FIQ72HYZBNWC,Umbrella,Pan,Medium High
88,ATT3WMHDZNE0F,Umbrella,Pan,Very Low
89,A167GKZSRIYRC1,Umbrella,Pan,Medium Low
90,A19Q676CHKCVOR,Spoon,Cup,Very Low
91,A3FIQ72HYZBNWC,Spoon,Cup,Medium
92,AKLKDS34ZAGML,Spoon,Cup,Low
93,A312HQ3OU0EYTB,Spoon,Cup,Very Low
94,A15SJZQBR8I3B3,Spoon,Cup,Low
95,AU04NHNF2WGMK,Bowl,Container,Medium High
96,AKLKDS34ZAGML,Bowl,Container,Medium
97,A3UEM5PCYERMXX,Bowl,Container,High
98,A3FIQ72HYZBNWC,Bowl,Container,Medium High
99,A1LW9X1B88MB1C,Bowl,Container,High
100,A1V5ETMSSAICW1,Pillow,Pillow case,Medium High
101,A15SJZQBR8I3B3,Pillow,Pillow case,Medium
102,A19Q676CHKCVOR,Pillow,Pillow case,Very Low
103,AKLKDS34ZAGML,Pillow,Pillow case,Medium Low
104,A3UEM5PCYERMXX,Pillow,Pillow case,Medium High
105,A3FIQ72HYZBNWC,Pillow case,Curtain,Medium Low
106,A19Q676CHKCVOR,Pillow case,Curtain,Medium Low
107,A1V5ETMSSAICW1,Pillow case,Curtain,Medium Low
108,A3UEM5PCYERMXX,Pillow case,Curtain,Very Low
109,AKLKDS34ZAGML,Pillow case,Curtain,Medium Low
110,A1C4LNTWGUOD4P,Towel,Kitchen Towel,High
111,A3FIQ72HYZBNWC,Towel,Kitchen Towel,Medium Low
112,A1LW9X1B88MB1C,Towel,Kitchen Towel,Medium
113,AKLKDS34ZAGML,Towel,Kitchen Towel,Medium High
114,A1LG8QD78XR5OS,Towel,Kitchen Towel,Very High
115,A3FIQ72HYZBNWC,Kitchen Towel,Bathroom Towel,Medium
116,A3UEM5PCYERMXX,Kitchen Towel,Bathroom Towel,Very High
117,A19Q676CHKCVOR,Kitchen Towel,Bathroom Towel,Medium High
118,A1C4LNTWGUOD4P,Kitchen Towel,Bathroom Towel,Medium High
119,AKLKDS34ZAGML,Kitchen Towel,Bathroom Towel,High
120,A1LG8QD78XR5OS,Bathroom Towel,Doormat,Medium
121,A3UEM5PCYERMXX,Bathroom Towel,Doormat,Medium Low
122,A1V5ETMSSAICW1,Bathroom Towel,Doormat,Medium Low
123,AKLKDS34ZAGML,Bathroom Towel,Doormat,Low
124,A3FIQ72HYZBNWC,Bathroom Towel,Doormat,Very High
125,A3FIQ72HYZBNWC,Scales,Lid,High
126,A19Q676CHKCVOR,Scales,Lid,Very Low
127,A1C4LNTWGUOD4P,Scales,Lid,Low
128,AKLKDS34ZAGML,Scales,Lid,Low
129,A1V5ETMSSAICW1,Scales,Lid,Very Low
130,AKLKDS34ZAGML,Flowerpot,Cup,Medium
131,A3UEM5PCYERMXX,Flowerpot,Cup,Medium High
132,A1LG8QD78XR5OS,Flowerpot,Cup,High
