,workerid,object1,object2,similarity
0,ATT3WMHDZNE0F,Cup,Bowl,4
1,A1V5ETMSSAICW1,Cup,Bowl,6
2,AKLKDS34ZAGML,Cup,Bowl,5
3,A3UEM5PCYERMXX,Cup,Bowl,4
4,A1C4LNTWGUOD4P,Cup,Bowl,5
5,A1LG8QD78XR5OS,Book,Newspaper,5
6,ATT3WMHDZNE0F,Book,Newspaper,5
7,AKLKDS34ZAGML,Book,Newspaper,4
8,A3FIQ72HYZBNWC,Book,Newspaper,2
9,A167GKZSRIYRC1,Book,Newspaper,7
10,AKLKDS34ZAGML,Newspaper,Book,4
11,A3FIQ72HYZBNWC,Newspaper,Book,5
12,A1S6C6EN8MPKC3,Newspaper,Book,5
13,A3UEM5PCYERMXX,Newspaper,Book,5
14,A1LW9X1B88MB1C,Newspaper,Book,7
15,A3UEM5PCYERMXX,Vase,Container,6
16,A3FIQ72HYZBNWC,Vase,Container,4
17,A167GKZSRIYRC1,Vase,Container,4
18,AKLKDS34ZAGML,Vase,Container,4
19,A19Q676CHKCVOR,Vase,Container,6
20,ATT3WMHDZNE0F,Wallpaper,Newspaper,2
21,A1V5ETMSSAICW1,Wallpaper,Newspaper,2
22,A3UEM5PCYERMXX,Wallpaper,Newspaper,5
23,A3NMQX36V9DCDD,Wallpaper,Newspaper,7
24,AKLKDS34ZAGML,Wallpaper,Newspaper,1
25,A167GKZSRIYRC1,Shelf,Table,5
26,A34930YXVQ8SUT,Shelf,Table,5
27,AKLKDS34ZAGML,Shelf,Table,3
28,A3FIQ72HYZBNWC,Shelf,Table,4
29,A1LG8QD78XR5OS,Shelf,Table,3
30,A14MCHQB6Z8MVT,Surfboard,Soap,1
31,A167GKZSRIYRC1,Surfboard,Soap,5
32,A1LG8QD78XR5OS,Surfboard,Soap,1
33,A19Q676CHKCVOR,Surfboard,Soap,1
34,A34930YXVQ8SUT,Surfboard,Soap,1
35,AKLKDS34ZAGML,PaperTowel,Sheet of Paper,5
36,A1V5ETMSSAICW1,PaperTowel,Sheet of Paper,5
37,A3UEM5PCYERMXX,PaperTowel,Sheet of Paper,7
38,A3FIQ72HYZBNWC,PaperTowel,Sheet of Paper,3
39,A1LW9X1B88MB1C,PaperTowel,Sheet of Paper,7
40,A19Q676CHKCVOR,Soap,Surfboard,1
41,A3UEM5PCYERMXX,Soap,Surfboard,1
42,A2P7GS077JVDJK,Soap,Surfboard,1
43,AKLKDS34ZAGML,Soap,Surfboard,1
44,A3FIQ72HYZBNWC,Soap,Surfboard,4
45,A19Q676CHKCVOR,Toothbrush,Coat brush,3
46,A3UEM5PCYERMXX,Toothbrush,Coat brush,6
47,AKLKDS34ZAGML,Toothbrush,Coat brush,3
48,A1S6C6EN8MPKC3,Toothbrush,Coat brush,2
49,A1C4LNTWGUOD4P,Toothbrush,Coat brush,5
50,A14MCHQB6Z8MVT,Coat brush,Shoe brush,5
51,A1LG8QD78XR5OS,Coat brush,Shoe brush,7
52,A3UEM5PCYERMXX,Coat brush,Shoe brush,5
53,A2P7GS077JVDJK,Coat brush,Shoe brush,5
54,AKLKDS34ZAGML,Coat brush,Shoe brush,5
55,A1V5ETMSSAICW1,Shoe brush,Painting brush,4
56,A3UEM5PCYERMXX,Shoe brush,Painting brush,7
57,A3FIQ72HYZBNWC,Shoe brush,Painting brush,3
58,AKLKDS34ZAGML,Shoe brush,Painting brush,4
59,A14MCHQB6Z8MVT,Shoe brush,Painting brush,3
60,A3UEM5PCYERMXX,Broom,Toilet brush,2
61,A1V5ETMSSAICW1,Broom,Toilet brush,4
62,A3FIQ72HYZBNWC,Broom,Toilet brush,4
63,A1C4LNTWGUOD4P,Broom,Toilet brush,4
64,AKLKDS34ZAGML,Broom,Toilet brush,4
65,A26KLP2RK19RR3,Toilet brush,Coat brush,5
66,AZCGF2D7QIO10,Toilet brush,Coat brush,5
67,A1LW9X1B88MB1C,Toilet brush,Coat brush,3
68,A3FIQ72HYZBNWC,Toilet brush,Coat brush,2
69,A167GKZSRIYRC1,Toilet brush,Coat brush,4
70,A3FIQ72HYZBNWC,Painting brush,Toothbrush,6
71,A3UEM5PCYERMXX,Painting brush,Toothbrush,4
72,AKLKDS34ZAGML,Painting brush,Toothbrush,4
73,A312HQ3OU0EYTB,Painting brush,Toothbrush,2
74,A1V5ETMSSAICW1,Painting brush,Toothbrush,5
75,A3UEM5PCYERMXX,Table,Desk,6
76,A19Q676CHKCVOR,Table,Desk,6
77,A1S6C6EN8MPKC3,Table,Desk,6
78,A34930YXVQ8SUT,Table,Desk,7
79,AKLKDS34ZAGML,Table,Desk,6
80,A1LG8QD78XR5OS,Desk,Table,6
81,AKLKDS34ZAGML,Desk,Table,6
82,AZCGF2D7QIO10,Desk,Table,5
83,A1V5ETMSSAICW1,Desk,Table,7
84,A167GKZSRIYRC1,Desk,Table,6
85,AKLKDS34ZAGML,Umbrella,Pan,1
86,A1LG8QD78XR5OS,Umbrella,Pan,1
87,A3FIQ72HYZBNWC,Umbrella,Pan,5
88,ATT3WMHDZNE0F,Umbrella,Pan,1
89,A167GKZSRIYRC1,Umbrella,Pan,3
90,A19Q676CHKCVOR,Spoon,Cup,1
91,A3FIQ72HYZBNWC,Spoon,Cup,4
92,AKLKDS34ZAGML,Spoon,Cup,2
93,A312HQ3OU0EYTB,Spoon,Cup,1
94,A15SJZQBR8I3B3,Spoon,Cup,2
95,AU04NHNF2WGMK,Bowl,Container,5
96,AKLKDS34ZAGML,Bowl,Container,4
97,A3UEM5PCYERMXX,Bowl,Container,6
98,A3FIQ72HYZBNWC,Bowl,Container,5
99,A1LW9X1B88MB1C,Bowl,Container,6
100,A1V5ETMSSAICW1,Pillow,Pillow case,5
101,A15SJZQBR8I3B3,Pillow,Pillow case,4
102,A19Q676CHKCVOR,Pillow,Pillow case,1
103,AKLKDS34ZAGML,Pillow,Pillow case,3
104,A3UEM5PCYERMXX,Pillow,Pillow case,5
